"","Fractures","Sprains, strains, tears","Amputations","Bruise, contusions","Chemical burns and corrosions","Heat (thermal) burns","Soreness, pain","Cuts, lacerations","Punctures (except gunshot wounds)","Cuts, lacerations, punctures","Carpal tunnel syndrome","Tendonitis","With sprains","With fractures","Multiple traumatic injuries","all other","value"
"281",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"282",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"283",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"284",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"285",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"286",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
"287",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"288",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"289",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"290",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"291",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
"292",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"293",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"294",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"295",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"296",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"297",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"298",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"300",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"301",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"302",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"303",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"304",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"305",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"306",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"307",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"308",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"309",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"310",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"311",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"312",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"313",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"314",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"315",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"316",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"317",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"318",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"319",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"320",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"321",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"322",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"323",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
"324",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"325",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"326",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"327",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"328",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"329",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"330",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"331",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"332",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"333",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"334",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"335",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"336",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"337",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"338",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"339",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"340",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"341",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"342",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"343",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"344",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"345",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"346",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"347",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"348",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"349",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
